conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
277,TLS_AES_256_GCM_SHA384,X25519,43993.00,308.00,456.00,188.00,1211.00
278,TLS_AES_256_GCM_SHA384,X25519,44925.00,205.00,540.00,122.00,1291.00
279,TLS_AES_256_GCM_SHA384,X25519,44736.00,229.00,391.00,119.00,1516.00
280,TLS_AES_256_GCM_SHA384,X25519,44331.00,230.00,367.00,114.00,925.00
281,TLS_AES_256_GCM_SHA384,X25519,44803.00,301.00,499.00,144.00,1014.00
282,TLS_AES_256_GCM_SHA384,X25519,44749.00,295.00,568.00,159.00,1254.00
283,TLS_AES_256_GCM_SHA384,X25519,45651.00,329.00,527.00,147.00,1338.00
284,TLS_AES_256_GCM_SHA384,X25519,44605.00,268.00,383.00,122.00,1053.00
285,TLS_AES_256_GCM_SHA384,X25519,44576.00,298.00,595.00,155.00,1081.00
286,TLS_AES_256_GCM_SHA384,X25519,43877.00,222.00,418.00,133.00,1269.00
287,TLS_AES_256_GCM_SHA384,X25519,43957.00,199.00,400.00,121.00,1168.00
288,TLS_AES_256_GCM_SHA384,X25519,44974.00,293.00,482.00,136.00,1571.00
289,TLS_AES_256_GCM_SHA384,X25519,44908.00,340.00,592.00,156.00,1102.00
290,TLS_AES_256_GCM_SHA384,X25519,45348.00,327.00,525.00,147.00,1364.00
291,TLS_AES_256_GCM_SHA384,X25519,45133.00,295.00,497.00,136.00,1294.00
292,TLS_AES_256_GCM_SHA384,X25519,44670.00,418.00,524.00,148.00,1352.00
293,TLS_AES_256_GCM_SHA384,X25519,44945.00,343.00,537.00,153.00,1387.00
294,TLS_AES_256_GCM_SHA384,X25519,44764.00,313.00,537.00,151.00,1436.00
295,TLS_AES_256_GCM_SHA384,X25519,46706.00,320.00,456.00,121.00,994.00
296,TLS_AES_256_GCM_SHA384,X25519,45366.00,340.00,546.00,158.00,1534.00
297,TLS_AES_256_GCM_SHA384,X25519,44094.00,242.00,415.00,117.00,1175.00
298,TLS_AES_256_GCM_SHA384,X25519,44920.00,225.00,423.00,133.00,1169.00
